edge_id,source_node_id,target_node_id,relationship_type,direction,weight,source,method,confidence,evidence_json,notes
tz_3xtnrBUgHBCwRh_xfyB4Ic__ZONE_MAPS_TO_EPLUS_ZONE__ez_ZN_0035_F6236351,tz_3xtnrBUgHBCwRh_xfyB4Ic,ez_ZN_0035_F6236351,ZONE_MAPS_TO_EPLUS_ZONE,directed,,greenflow_postprocess,gold_zone_id_identity,exact,{},
floor_level_02__FLOOR_HAS_ROOM__tz_3xtnrBUgHBCwRh_xfyB4IZ,floor_level_02,tz_3xtnrBUgHBCwRh_xfyB4IZ,FLOOR_HAS_ROOM,directed,,ifc_arch,ifc_storey_containment,high,{},
tz_3xtnrBUgHBCwRh_xfyB4IZ__ZONE_MAPS_TO_EPLUS_ZONE__ez_ZN_0036_E3B484D9,tz_3xtnrBUgHBCwRh_xfyB4IZ,ez_ZN_0036_E3B484D9,ZONE_MAPS_TO_EPLUS_ZONE,directed,,greenflow_postprocess,gold_zone_id_identity,exact,{},
floor_level_02__FLOOR_HAS_ROOM__tz_3xtnrBUgHBCwRh_xfyB1VR,floor_level_02,tz_3xtnrBUgHBCwRh_xfyB1VR,FLOOR_HAS_ROOM,directed,,ifc_arch,ifc_storey_containment,high,{},
tz_3xtnrBUgHBCwRh_xfyB1VR__ZONE_MAPS_TO_EPLUS_ZONE__ez_ZN_0037_D1EA7236,tz_3xtnrBUgHBCwRh_xfyB1VR,ez_ZN_0037_D1EA7236,ZONE_MAPS_TO_EPLUS_ZONE,directed,,greenflow_postprocess,gold_zone_id_identity,exact,{},
floor_basement__FLOOR_HAS_ROOM__tz_2jhaHNpo55guKudM9wZa8C,floor_basement,tz_2jhaHNpo55guKudM9wZa8C,FLOOR_HAS_ROOM,directed,,ifc_arch,ifc_storey_containment,high,{},
tz_2jhaHNpo55guKudM9wZa8C__ZONE_MAPS_TO_EPLUS_ZONE__ez_ZN_0038_CD8851FE,tz_2jhaHNpo55guKudM9wZa8C,ez_ZN_0038_CD8851FE,ZONE_MAPS_TO_EPLUS_ZONE,directed,,greenflow_postprocess,gold_zone_id_identity,exact,{},
floor_basement__FLOOR_HAS_ROOM__tz_2jhaHNpo55guKudM9wZa8A,floor_basement,tz_2jhaHNpo55guKudM9wZa8A,FLOOR_HAS_ROOM,directed,,ifc_arch,ifc_storey_containment,high,{},
tz_2jhaHNpo55guKudM9wZa8A__ZONE_MAPS_TO_EPLUS_ZONE__ez_ZN_0039_805816AB,tz_2jhaHNpo55guKudM9wZa8A,ez_ZN_0039_805816AB,ZONE_MAPS_TO_EPLUS_ZONE,directed,,greenflow_postprocess,gold_zone_id_identity,exact,{},
floor_basement__FLOOR_HAS_ROOM__tz_2jhaHNpo55guKudM9wZa88,floor_basement,tz_2jhaHNpo55guKudM9wZa88,FLOOR_HAS_ROOM,directed,,ifc_arch,ifc_storey_containment,high,{},
tz_2jhaHNpo55guKudM9wZa88__ZONE_MAPS_TO_EPLUS_ZONE__ez_ZN_0040_E6ECC151,tz_2jhaHNpo55guKudM9wZa88,ez_ZN_0040_E6ECC151,ZONE_MAPS_TO_EPLUS_ZONE,directed,,greenflow_postprocess,gold_zone_id_identity,exact,{},
floor_basement__FLOOR_HAS_ROOM__tz_2jhaHNpo55guKudM9wZa8E,floor_basement,tz_2jhaHNpo55guKudM9wZa8E,FLOOR_HAS_ROOM,directed,,ifc_arch,ifc_storey_containment,high,{},
tz_2jhaHNpo55guKudM9wZa8E__ZONE_MAPS_TO_EPLUS_ZONE__ez_ZN_0041_BD9F7171,tz_2jhaHNpo55guKudM9wZa8E,ez_ZN_0041_BD9F7171,ZONE_MAPS_TO_EPLUS_ZONE,directed,,greenflow_postprocess,gold_zone_id_identity,exact,{},
floor_basement__FLOOR_HAS_ROOM__tz_2jhaHNpo55guKudM9wZa9q,floor_basement,tz_2jhaHNpo55guKudM9wZa9q,FLOOR_HAS_ROOM,directed,,ifc_arch,ifc_storey_containment,high,{},
tz_2jhaHNpo55guKudM9wZa9q__ZONE_MAPS_TO_EPLUS_ZONE__ez_ZN_0042_93E09D7C,tz_2jhaHNpo55guKudM9wZa9q,ez_ZN_0042_93E09D7C,ZONE_MAPS_TO_EPLUS_ZONE,directed,,greenflow_postprocess,gold_zone_id_identity,exact,{},
floor_level_02__FLOOR_HAS_ROOM__tz_3H2AkZFqzChQTN2UOTW_6p,floor_level_02,tz_3H2AkZFqzChQTN2UOTW_6p,FLOOR_HAS_ROOM,directed,,ifc_arch,ifc_storey_containment,high,{},
tz_3H2AkZFqzChQTN2UOTW_6p__ZONE_MAPS_TO_EPLUS_ZONE__ez_ZN_0043_32E0336D,tz_3H2AkZFqzChQTN2UOTW_6p,ez_ZN_0043_32E0336D,ZONE_MAPS_TO_EPLUS_ZONE,directed,,greenflow_postprocess,gold_zone_id_identity,exact,{},
floor_basement__FLOOR_HAS_ROOM__tz_2T7gRjEFvBgRaNLZHAfEyt,floor_basement,tz_2T7gRjEFvBgRaNLZHAfEyt,FLOOR_HAS_ROOM,directed,,ifc_arch,ifc_storey_containment,high,{},
tz_2T7gRjEFvBgRaNLZHAfEyt__ZONE_MAPS_TO_EPLUS_ZONE__ez_ZN_0044_62C79DBA,tz_2T7gRjEFvBgRaNLZHAfEyt,ez_ZN_0044_62C79DBA,ZONE_MAPS_TO_EPLUS_ZONE,directed,,greenflow_postprocess,gold_zone_id_identity,exact,{},
floor_level_03__FLOOR_HAS_ROOM__tz_1xBFBS5N18MfdblikYnUB3,floor_level_03,tz_1xBFBS5N18MfdblikYnUB3,FLOOR_HAS_ROOM,directed,,ifc_arch,ifc_storey_containment,high,{},
tz_1xBFBS5N18MfdblikYnUB3__ZONE_MAPS_TO_EPLUS_ZONE__ez_ZN_0045_E89C8486,tz_1xBFBS5N18MfdblikYnUB3,ez_ZN_0045_E89C8486,ZONE_MAPS_TO_EPLUS_ZONE,directed,,greenflow_postprocess,gold_zone_id_identity,exact,{},
