load_point_id,circuit_id,board_id,category,system_code,mapping_method,mapping_confidence
lp_26ja02sJrBp8cwCKX0jJvu,circuit_board_1T4Dk9Ojj9rOi06EMenZ3N_lights,board_1T4Dk9Ojj9rOi06EMenZ3N,lights,S0301,system_code+floor+nearest,medium
lp_26ja02sJrBp8cwCKX0jJvv,circuit_board_1T4Dk9Ojj9rOi06EMenZ3N_lights,board_1T4Dk9Ojj9rOi06EMenZ3N,lights,S0301,system_code+floor+nearest,medium
lp_2CukqXrIbC5ehoYxOxry_t,circuit_board_1BFJi9GR9EgeQt8GQ9ASY__lights,board_1BFJi9GR9EgeQt8GQ9ASY_,lights,S0301,system_code+floor+nearest,medium
lp_2CukqXrIbC5ehoYxOxry_c,circuit_board_1BFJi9GR9EgeQt8GQ9ASY__lights,board_1BFJi9GR9EgeQt8GQ9ASY_,lights,S0301,system_code+floor+nearest,medium
lp_2CukqXrIbC5ehoYxOxry_g,circuit_board_1BFJi9GR9EgeQt8GQ9ASY__lights,board_1BFJi9GR9EgeQt8GQ9ASY_,lights,S0301,system_code+floor+nearest,medium
lp_2CukqXrIbC5ehoYxOxry_h,circuit_board_1BFJi9GR9EgeQt8GQ9ASY__lights,board_1BFJi9GR9EgeQt8GQ9ASY_,lights,S0301,system_code+floor+nearest,medium
lp_2CukqXrIbC5ehoYxOxry_J,circuit_board_1BFJi9GR9EgeQt8GQ9ASY__lights,board_1BFJi9GR9EgeQt8GQ9ASY_,lights,S0301,system_code+floor+nearest,medium
lp_2CukqXrIbC5ehoYxOxry_G,circuit_board_1BFJi9GR9EgeQt8GQ9ASY__lights,board_1BFJi9GR9EgeQt8GQ9ASY_,lights,S0301,system_code+floor+nearest,medium
lp_2CukqXrIbC5ehoYxOxry_H,circuit_board_3N5QrrVL56chghraBSbwdo_lights,board_3N5QrrVL56chghraBSbwdo,lights,S0301,system_code+floor+nearest,medium
lp_2CukqXrIbC5ehoYxOxry_4,circuit_board_3N5QrrVL56chghraBSbwdo_lights,board_3N5QrrVL56chghraBSbwdo,lights,S0301,system_code+floor+nearest,medium
lp_2CukqXrIbC5ehoYxOxry_5,circuit_board_3N5QrrVL56chghraBSbwdo_lights,board_3N5QrrVL56chghraBSbwdo,lights,S0301,system_code+floor+nearest,medium
lp_2CukqXrIbC5ehoYxOxry_2,circuit_board_3N5QrrVL56chghraBSbwdo_lights,board_3N5QrrVL56chghraBSbwdo,lights,S0301,system_code+floor+nearest,medium
lp_2CukqXrIbC5ehoYxOxry_3,circuit_board_3N5QrrVL56chghraBSbwdo_lights,board_3N5QrrVL56chghraBSbwdo,lights,S0301,system_code+floor+nearest,medium
lp_2CukqXrIbC5ehoYxOxry_0,circuit_board_3N5QrrVL56chghraBSbwdo_lights,board_3N5QrrVL56chghraBSbwdo,lights,S0301,system_code+floor+nearest,medium
